861.52,855.63,849.99,844.43,838.69,832.22,825.91,820.22,815.10,809.85,804.37,798.45,791.90,786.50,781.34,775.67,768.94,760.99,754.47,747.98,741.00,733.61,725.19,717.39,709.77,701.51,693.18,683.11,673.76,665.70,656.71,647.96,639.65,632.51,628.54,629.80,633.33,638.04,643.60,649.06,654.14,659.52,665.27,670.99,675.97,680.26,684.03,687.15,689.03,689.33,688.68,687.41,685.80,683.91,681.57,678.94,676.31,673.68,670.60,667.15,663.48,659.95,656.19,652.04,647.33,641.74,636.29,630.56,624.64,618.61,611.98,605.87,599.79,594.27,591.95,593.20,594.87,595.69,594.99,593.37,590.97,588.00,584.55,580.97,577.33,573.63,569.81,565.81,562.48,559.90,558.04,556.83,555.36,552.75,550.12,548.14,546.64,545.10,543.63,542.23,540.61,537.45,531.03,523.49,516.80,511.35,505.49,500.01,495.20,490.68,486.27,482.19,478.81,476.72,475.30,473.58,471.62,469.89,469.60,469.44,469.30,469.20,469.19,469.29,469.41,469.52,469.64,469.75,469.84,469.88,469.87,469.84,469.79,469.62,469.26,468.67,468.06,467.44,466.89,466.50,466.35,466.26,466.22,466.20,466.14,466.13,466.13,466.13,466.13,466.13,466.13,466.11,466.07,466.03,466.02,466.02,466.00,465.92,465.78,465.65,465.56,465.48,465.33,465.17,465.02,464.90,464.89,464.83,464.75,464.70,464.69,464.66,464.65,464.63,464.59,464.55,464.54,464.52,464.49,464.45,464.44,464.47,464.53,464.61,464.69,464.76,464.82,464.87,465.01,465.38,465.85,466.35,466.86,467.40,467.91,468.34,468.67,468.99,469.33,470.01,471.28,473.48,476.18,478.98,482.52,487.56,494.12,498.71,501.09,502.00,502.88,503.66,504.29,504.93,505.84,506.96,508.34,510.22,512.93,516.76,520.43,523.75,526.71,529.32,532.03,535.09,538.75,543.04,547.00,551.01,555.00,558.77,561.80,564.27,566.64,569.46,573.41,578.76,584.55,590.06,595.13,600.40,607.04,614.12,620.58,625.19,629.68,634.64,640.42,647.25,654.39,661.27,667.56,673.18,678.17,683.63
861.60,855.91,850.50,845.13,839.82,833.28,826.92,821.34,816.02,810.77,805.35,799.61,793.51,788.05,782.86,777.17,770.33,762.26,755.42,748.77,741.90,734.74,726.99,719.23,711.56,703.83,695.63,685.74,676.64,668.88,660.16,650.73,641.78,633.67,627.38,626.59,628.81,632.99,638.81,644.82,650.42,655.75,661.14,667.07,672.21,676.54,680.33,683.53,685.31,685.66,685.20,684.10,682.43,680.41,678.05,675.46,672.77,670.05,666.82,663.28,659.70,656.46,652.71,648.18,642.92,637.32,631.92,626.60,621.25,615.72,609.60,604.09,598.12,591.60,586.59,586.03,587.16,588.26,587.94,586.96,585.08,582.38,579.08,576.18,573.01,569.36,565.27,561.31,559.30,557.98,556.82,555.66,554.54,553.24,551.21,548.49,546.40,544.25,542.56,541.16,539.13,534.17,526.72,519.48,514.21,508.81,502.79,497.38,492.80,488.30,484.05,480.27,477.05,474.60,472.86,471.11,469.95,469.66,469.46,469.32,469.25,469.28,469.41,469.50,469.63,469.75,469.83,469.97,470.06,470.11,470.09,470.03,470.00,469.79,469.40,468.84,468.24,467.63,467.07,466.68,466.63,466.57,466.53,466.51,466.45,466.44,466.44,466.44,466.44,466.44,466.44,466.40,466.34,466.34,466.32,466.31,466.25,466.10,465.94,465.78,465.63,465.48,465.33,465.17,465.02,464.90,464.89,464.83,464.76,464.71,464.71,464.70,464.69,464.67,464.62,464.61,464.61,464.56,464.51,464.50,464.50,464.50,464.54,464.61,464.69,464.76,464.84,464.94,465.15,465.56,466.07,466.58,467.06,467.59,468.13,468.59,468.98,469.30,469.76,470.99,473.09,475.95,478.76,481.65,485.53,491.22,498.26,500.87,502.00,502.99,503.92,504.78,505.50,506.16,506.95,508.15,509.75,512.15,515.45,518.92,522.11,525.14,528.07,530.96,534.13,537.32,540.78,544.65,548.40,552.24,556.02,559.52,562.32,564.79,567.24,570.34,574.87,580.35,586.07,591.28,595.92,601.14,608.03,615.24,621.63,626.00,630.52,635.43,641.39,648.67,655.73,662.41,668.52,674.06,679.29,685.33
861.19,855.71,850.69,845.91,840.93,834.15,827.56,821.95,816.67,811.50,806.14,800.57,794.88,789.36,783.82,777.90,771.20,763.46,756.40,749.56,742.70,735.78,728.62,720.90,713.11,705.76,698.26,688.42,679.04,671.03,662.51,652.96,643.67,635.10,627.89,623.78,624.44,628.13,633.70,640.07,646.16,651.87,657.37,663.09,668.35,672.74,676.55,679.81,681.66,682.11,681.71,680.64,679.00,676.87,674.45,671.77,668.75,665.57,662.41,659.30,656.20,653.05,648.57,643.46,638.14,632.87,627.79,622.84,617.92,612.92,607.64,602.52,596.79,590.26,584.31,580.62,579.81,580.65,580.94,580.55,579.41,577.63,575.22,572.44,568.53,564.59,561.31,559.27,557.92,556.79,555.69,554.54,553.45,552.29,550.76,548.62,545.88,543.30,541.46,539.71,536.20,530.34,523.18,516.65,511.73,506.01,500.33,495.20,490.63,486.25,482.03,478.50,475.45,472.77,471.12,470.18,469.70,469.56,469.49,469.47,469.48,469.50,469.61,469.73,469.85,469.94,470.02,470.12,470.20,470.24,470.23,470.20,470.06,469.75,469.28,468.69,468.12,467.56,467.14,466.96,466.94,466.88,466.85,466.83,466.76,466.75,466.75,466.75,466.75,466.75,466.75,466.71,466.65,466.64,466.55,466.44,466.32,466.16,465.96,465.79,465.63,465.48,465.33,465.17,465.02,464.90,464.89,464.83,464.79,464.76,464.76,464.71,464.70,464.69,464.67,464.67,464.67,464.63,464.56,464.56,464.51,464.54,464.58,464.62,464.69,464.76,464.84,464.99,465.36,465.81,466.29,466.79,467.30,467.79,468.31,468.81,469.23,469.66,470.84,472.93,475.63,478.57,481.51,484.45,488.74,494.84,499.74,501.69,502.80,503.88,504.86,505.77,506.60,507.35,508.15,509.47,512.04,515.16,518.37,521.13,524.06,527.04,529.93,532.59,535.49,538.62,541.96,545.51,549.25,553.05,556.73,560.11,562.93,565.49,568.00,571.28,576.19,581.65,587.21,592.28,596.87,602.21,609.22,616.31,622.45,626.81,631.33,636.18,642.31,650.05,656.83,663.38,669.48,675.09,680.51,686.78
860.46,855.24,850.50,846.14,841.57,834.82,828.16,822.51,817.20,811.97,806.63,801.23,795.83,790.40,784.60,778.49,771.93,764.35,757.10,750.17,743.40,736.58,729.75,722.21,714.47,707.18,700.42,690.71,681.11,672.82,664.39,654.88,645.38,636.40,628.47,622.10,620.99,623.55,628.60,634.98,641.53,647.69,653.46,659.15,664.46,668.91,672.69,675.82,677.74,678.34,678.03,676.97,675.36,673.02,670.35,667.47,664.32,661.16,658.25,655.40,652.30,648.47,643.58,638.41,633.31,628.45,623.61,619.02,614.61,610.19,605.66,600.86,595.38,589.14,582.86,577.04,574.16,573.91,574.56,574.56,574.03,572.86,570.78,567.85,564.26,561.06,558.82,557.84,556.78,555.71,554.60,553.45,552.36,551.11,549.63,547.67,544.87,542.18,539.86,537.27,532.93,526.50,519.92,514.09,509.09,503.22,497.84,492.88,488.24,483.87,479.89,476.53,473.64,471.30,470.12,469.74,469.63,469.58,469.59,469.66,469.71,469.75,469.83,469.95,470.06,470.14,470.20,470.25,470.32,470.36,470.35,470.29,470.07,469.66,469.13,468.54,468.00,467.57,467.33,467.26,467.25,467.19,467.16,467.14,467.07,467.06,467.06,467.06,467.06,467.06,467.02,466.95,466.86,466.80,466.66,466.51,466.35,466.19,466.00,465.82,465.66,465.48,465.33,465.17,465.02,464.90,464.89,464.85,464.81,464.80,464.79,464.75,464.74,464.74,464.74,464.73,464.71,464.67,464.63,464.59,464.55,464.57,464.61,464.64,464.72,464.79,464.89,465.11,465.59,466.08,466.57,467.07,467.60,468.07,468.58,469.07,469.63,470.58,472.53,475.17,478.08,480.88,483.73,486.77,491.41,497.65,500.73,502.28,503.46,504.62,505.69,506.70,507.62,508.57,509.80,511.77,514.91,518.20,521.05,523.39,526.14,528.99,531.73,534.25,536.86,539.84,543.00,546.32,550.06,553.77,557.30,560.56,563.41,566.09,568.88,572.44,577.44,582.80,588.21,593.16,597.77,603.36,610.35,617.22,623.16,627.58,632.13,637.04,643.36,651.34,657.87,664.35,670.42,676.03,681.58,687.74
859.40,854.50,849.89,845.79,841.70,835.25,828.69,823.00,817.59,812.17,806.82,801.55,796.33,791.10,785.17,778.97,772.54,764.89,757.48,750.57,743.96,737.11,730.35,723.16,715.60,708.11,701.99,692.55,682.85,674.28,665.83,656.45,646.88,637.54,628.98,621.57,618.54,619.35,623.58,629.65,636.53,643.17,649.34,655.21,660.53,665.04,668.78,671.60,673.56,674.35,674.15,673.08,671.44,668.84,665.79,662.62,659.61,656.96,654.37,651.48,647.82,642.73,637.86,633.14,628.52,624.08,619.35,615.15,611.33,607.52,603.58,599.01,593.83,588.06,581.94,575.19,570.32,568.13,568.83,569.04,568.91,567.97,565.72,562.57,560.38,558.86,557.72,556.78,555.73,554.64,553.53,552.39,551.26,549.79,547.91,545.67,543.32,540.82,537.68,533.90,529.41,522.73,516.88,511.64,506.27,500.46,495.27,490.35,485.59,481.18,477.64,474.40,471.70,470.25,469.81,469.67,469.65,469.70,469.77,469.85,469.92,470.00,470.07,470.16,470.28,470.37,470.38,470.40,470.45,470.49,470.45,470.30,470.02,469.54,468.96,468.41,467.89,467.70,467.63,467.58,467.56,467.50,467.47,467.45,467.38,467.37,467.37,467.37,467.36,467.35,467.24,467.10,466.95,466.81,466.66,466.51,466.35,466.20,466.04,465.88,465.70,465.49,465.33,465.17,465.02,464.91,464.91,464.89,464.84,464.81,464.80,464.80,464.79,464.79,464.79,464.79,464.73,464.70,464.68,464.62,464.60,464.60,464.63,464.70,464.77,464.85,465.01,465.32,465.85,466.38,466.91,467.45,467.98,468.45,468.92,469.43,470.26,472.12,474.75,477.59,480.34,482.88,485.46,488.71,493.61,499.61,501.50,502.78,504.01,505.23,506.43,507.58,508.64,509.94,512.00,515.02,518.21,521.07,523.42,525.65,528.26,530.85,533.37,535.87,538.25,541.00,543.97,547.14,550.84,554.40,557.75,560.87,563.74,566.59,569.86,573.79,578.60,583.83,589.10,593.95,598.61,604.55,611.41,618.00,623.76,628.31,632.92,638.03,644.53,652.51,658.83,665.29,671.33,676.87,682.49,688.23
857.85,853.22,848.83,845.08,841.31,835.00,828.55,822.94,817.57,812.25,806.85,801.44,796.17,790.87,785.09,779.08,772.70,765.00,757.55,750.64,744.06,737.21,730.46,723.66,716.38,708.63,702.63,693.69,684.19,675.37,666.62,657.21,647.86,638.65,629.59,621.96,617.42,616.35,619.17,624.45,631.01,637.98,644.79,650.83,656.33,661.07,664.91,667.58,669.54,670.33,670.07,668.77,666.71,664.01,661.20,658.40,655.69,653.19,650.09,646.40,642.05,637.02,632.55,628.29,624.02,619.67,615.11,611.33,608.06,604.71,600.99,596.69,591.91,586.65,581.00,574.50,568.05,563.49,563.64,563.80,563.72,563.09,561.64,559.75,558.51,557.53,556.62,555.71,554.67,553.59,552.48,551.27,549.80,547.89,545.74,543.45,541.06,538.26,534.81,530.57,525.22,519.29,514.07,508.94,503.27,497.67,492.53,487.58,482.89,479.01,475.69,472.72,470.56,469.92,469.77,469.73,469.76,469.88,469.96,470.07,470.19,470.29,470.33,470.40,470.50,470.57,470.57,470.62,470.62,470.57,470.46,470.25,469.89,469.39,468.83,468.32,468.04,467.95,467.91,467.88,467.88,467.82,467.78,467.76,467.69,467.68,467.68,467.65,467.55,467.43,467.28,467.13,466.97,466.82,466.66,466.51,466.35,466.20,466.04,465.89,465.72,465.54,465.38,465.23,465.07,464.95,464.95,464.92,464.88,464.86,464.86,464.86,464.86,464.86,464.86,464.85,464.78,464.75,464.74,464.67,464.66,464.63,464.63,464.71,464.79,464.86,465.18,465.72,466.25,466.76,467.28,467.82,468.35,468.82,469.32,470.30,472.02,474.41,477.14,479.82,482.39,484.86,487.33,491.50,496.45,500.74,502.33,503.58,504.79,506.00,507.23,508.40,510.15,512.50,515.35,518.26,520.81,523.05,525.12,527.40,529.79,532.10,534.38,536.71,538.99,541.78,544.84,548.00,551.45,554.83,558.09,561.19,564.11,567.16,570.77,574.91,579.61,584.86,589.98,594.74,599.50,605.61,612.47,618.86,624.40,629.04,633.68,639.17,645.83,653.40,659.55,666.01,672.08,677.61,683.14,688.43
856.15,851.82,847.68,844.15,840.42,834.25,827.96,822.50,817.24,812.14,806.74,801.14,795.67,790.23,784.62,778.82,772.53,764.87,757.48,750.55,743.88,737.05,730.39,723.89,716.82,708.89,702.85,694.38,685.21,676.27,667.24,657.78,648.61,639.54,630.23,622.75,616.89,613.88,615.07,619.44,625.52,632.51,639.74,646.10,651.84,656.83,660.86,663.57,665.49,666.22,665.84,664.31,661.96,659.33,656.83,654.40,651.77,649.09,645.35,640.86,636.04,631.50,627.48,623.52,619.45,615.22,611.01,607.65,604.79,601.78,598.21,594.16,589.74,584.94,579.73,573.64,566.32,560.16,559.64,559.56,559.43,559.06,558.38,557.61,557.07,556.39,555.52,554.63,553.60,552.52,551.35,549.95,548.06,545.79,543.44,541.08,538.46,535.37,531.57,526.88,521.11,516.04,511.19,505.98,500.17,494.73,489.61,484.73,480.33,477.00,473.83,471.34,469.88,469.83,469.83,469.85,469.92,470.06,470.16,470.30,470.46,470.58,470.60,470.67,470.73,470.77,470.78,470.79,470.73,470.60,470.41,470.18,469.75,469.24,468.73,468.35,468.29,468.23,468.19,468.19,468.17,468.12,468.09,468.07,467.99,467.95,467.92,467.85,467.68,467.48,467.32,467.16,467.01,466.85,466.70,466.55,466.39,466.24,466.08,465.93,465.77,465.62,465.46,465.31,465.15,465.03,465.00,464.94,464.92,464.92,464.92,464.92,464.91,464.90,464.90,464.89,464.84,464.81,464.78,464.73,464.70,464.66,464.65,464.73,464.81,464.94,465.44,466.19,466.75,467.25,467.75,468.28,468.84,469.44,470.16,471.67,474.13,476.80,479.54,482.11,484.52,486.99,489.97,494.69,499.11,501.70,503.19,504.48,505.69,506.88,508.14,509.63,512.17,515.37,518.51,521.00,522.94,524.73,526.62,528.87,531.04,533.13,535.22,537.37,539.61,542.48,545.63,548.80,552.04,555.27,558.47,561.60,564.63,567.82,571.65,575.93,580.49,585.76,590.76,595.49,600.41,606.65,613.43,619.60,624.99,629.78,634.51,640.49,647.32,654.30,660.17,666.57,672.66,678.20,683.57,688.52
854.39,850.42,846.61,842.94,838.59,832.62,826.67,821.42,816.41,811.67,806.40,800.63,794.72,789.14,783.56,777.90,771.81,764.44,757.26,750.20,743.22,736.50,730.14,723.70,716.62,708.78,702.59,694.39,685.63,676.97,667.83,658.38,649.10,639.91,630.90,623.99,617.00,612.00,611.35,614.81,620.34,626.78,633.71,640.81,646.81,651.97,656.30,659.44,661.30,661.91,661.37,659.71,657.62,655.33,653.02,650.53,647.39,643.98,639.66,634.86,630.16,626.45,622.78,618.77,614.54,610.64,607.28,604.32,601.52,598.62,595.23,591.37,587.19,582.67,577.69,571.73,564.99,559.37,558.18,557.56,557.35,557.11,556.49,555.69,555.56,555.22,554.44,553.53,552.53,551.43,550.07,548.15,545.86,543.52,541.09,538.45,535.44,532.34,527.78,522.29,517.53,513.11,508.07,502.57,496.92,491.49,486.33,481.80,478.07,475.08,472.05,470.40,469.89,469.89,469.94,470.00,470.11,470.26,470.40,470.55,470.71,470.84,470.90,470.98,471.01,471.02,470.99,470.84,470.69,470.52,470.30,470.05,469.63,469.12,468.71,468.62,468.60,468.55,468.50,468.49,468.44,468.41,468.40,468.37,468.23,468.11,467.98,467.85,467.70,467.58,467.44,467.29,467.13,466.98,466.82,466.67,466.52,466.36,466.21,466.05,465.90,465.74,465.59,465.43,465.28,465.13,465.02,464.99,464.98,464.98,464.98,464.98,464.93,464.90,464.90,464.90,464.89,464.84,464.80,464.77,464.72,464.69,464.72,464.79,464.88,465.19,465.88,466.77,467.43,467.98,468.47,468.97,469.59,470.63,472.05,473.98,476.41,479.01,481.89,484.60,486.99,489.48,494.44,498.33,500.97,502.64,504.06,505.43,506.72,507.94,509.31,511.84,515.15,518.35,520.59,522.50,524.35,526.18,528.04,529.94,531.95,533.98,536.01,538.08,540.34,543.20,546.30,549.43,552.66,555.86,559.03,562.22,565.46,568.65,572.52,576.80,581.18,586.35,591.28,596.13,601.36,607.72,614.14,620.04,625.44,630.52,635.53,642.16,649.16,655.34,660.71,666.89,672.93,678.46,683.61,688.47
852.43,848.52,844.88,841.28,836.41,830.70,825.09,819.99,815.33,810.81,805.48,799.47,793.42,787.87,782.45,776.90,770.81,763.45,756.65,749.68,742.51,735.86,729.60,723.24,716.25,708.52,702.06,694.09,685.83,677.62,668.42,659.57,651.13,642.53,633.33,626.28,619.06,612.83,609.60,611.13,615.33,621.17,628.05,635.04,641.22,646.52,650.91,654.02,655.79,656.38,656.00,654.75,653.00,650.78,648.31,645.54,642.11,637.91,633.46,629.01,624.76,621.08,617.35,613.54,609.78,606.33,603.41,600.66,597.93,595.08,591.87,588.08,583.96,579.55,574.64,569.53,563.89,559.05,557.57,556.41,555.66,555.08,554.50,553.79,553.80,553.72,553.23,552.43,551.47,550.06,548.24,546.03,543.62,541.10,538.45,535.57,532.31,528.19,523.12,517.81,513.50,509.23,504.30,498.89,493.31,488.05,483.38,479.60,476.69,474.15,471.55,470.25,469.95,470.00,470.10,470.19,470.29,470.45,470.61,470.76,470.91,471.05,471.16,471.21,471.21,471.16,471.07,470.85,470.63,470.42,470.21,469.93,469.53,469.15,468.92,468.92,468.92,468.86,468.81,468.79,468.69,468.62,468.55,468.46,468.31,468.15,468.00,467.85,467.71,467.62,467.48,467.33,467.17,467.02,466.89,466.75,466.59,466.45,466.29,466.16,466.02,465.87,465.71,465.56,465.39,465.20,465.07,465.04,465.04,465.04,465.04,465.01,464.97,464.94,464.94,464.94,464.94,464.89,464.83,464.80,464.76,464.75,464.77,464.86,464.95,465.48,466.31,467.24,468.01,468.65,469.27,470.03,471.09,472.42,474.25,476.47,479.06,481.87,484.73,487.82,491.04,494.26,498.08,500.62,502.28,503.59,504.98,506.37,507.72,509.21,511.44,514.69,517.82,520.33,522.02,523.57,525.29,527.11,528.95,530.74,532.65,534.61,536.60,538.65,541.04,543.89,546.91,549.96,553.09,556.20,559.12,562.03,565.53,569.30,573.34,577.51,581.85,586.90,591.84,596.88,602.40,608.75,614.93,620.65,626.03,631.28,636.56,643.66,650.66,656.07,661.25,667.25,673.17,678.61,683.44,688.10
850.34,846.36,842.77,839.22,834.05,828.63,823.34,818.41,814.10,809.68,804.21,798.01,791.94,786.54,781.33,775.85,769.66,762.21,755.81,749.03,741.77,735.15,728.89,722.59,715.75,708.14,701.35,693.55,685.81,678.16,669.09,661.16,653.90,646.17,636.85,629.38,622.29,615.21,609.25,608.29,610.72,615.78,622.52,629.08,635.38,640.80,645.14,648.07,649.80,650.41,650.33,649.62,648.16,645.87,643.08,639.94,636.30,631.51,627.17,623.27,619.52,615.60,611.68,608.15,605.06,602.13,599.45,596.80,594.10,591.23,588.12,584.40,580.32,575.94,571.22,567.14,562.81,558.94,557.35,555.78,554.37,553.30,552.62,551.87,551.86,551.99,551.83,551.08,550.05,548.26,545.98,543.59,541.20,538.51,535.61,532.49,528.88,523.56,518.20,513.40,509.19,504.81,500.08,495.00,489.66,484.67,480.74,477.82,475.67,473.58,471.56,470.43,470.07,470.15,470.28,470.38,470.50,470.65,470.79,470.94,471.09,471.24,471.38,471.40,471.35,471.25,471.09,470.87,470.59,470.35,470.14,469.84,469.50,469.30,469.22,469.22,469.22,469.15,469.10,469.05,468.92,468.76,468.61,468.46,468.31,468.15,468.00,467.85,467.71,467.62,467.48,467.33,467.17,467.03,466.93,466.80,466.65,466.50,466.35,466.24,466.13,465.97,465.82,465.67,465.48,465.28,465.14,465.11,465.11,465.10,465.08,465.02,465.01,465.00,465.00,465.00,465.00,464.95,464.88,464.82,464.80,464.80,464.83,464.91,465.06,465.80,466.72,467.66,468.59,469.42,470.29,471.41,472.98,474.52,476.65,479.19,482.07,485.22,488.20,491.66,495.58,499.35,500.98,502.19,503.37,504.56,505.91,507.30,508.79,510.75,514.02,517.59,520.07,521.74,523.11,524.46,526.07,527.82,529.63,531.42,533.25,535.15,537.10,539.17,541.73,544.55,547.47,550.37,553.30,556.25,558.81,561.39,565.31,569.88,574.11,578.17,582.55,587.48,592.46,597.73,603.49,609.74,615.77,621.37,626.69,632.04,637.57,644.97,651.87,656.62,661.78,667.61,673.39,678.71,683.24,687.66
